Movie ID,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metacritic Rating,IMDb Rating,IMDb Votes,IMDb ID
It's Alive-1974,It's Alive,1974,PG,91 min,Horror,Larry Cohen,Larry Cohen,"John P. Ryan, Sharon Farrell, Andrew Duggan, Guy Stockwell","The Davies expect a baby, which turns out to be a monster with a nasty habit of killing when it's scared. And it's easily scared.",English,USA,1 win.,72,5.8,"6,368",tt0071675
The Last Man on Earth-1924,The Last Man on Earth,1924,N/A,70 min,"Comedy, Fantasy, Sci-Fi",John G. Blystone,"Donald W. Lee, John D. Swain (story)","Earle Foxe, Grace Cunard, Gladys Tennyson, Derelys Perdue","In the future year of 1940, a young man is rejected and humiliated by a girl and goes off to be a hermit in a redwood forest. By 1950, a dreadful plague of ""Masculitis"" has killed every ...",English,USA,N/A,N/A,6.0,38,tt0015051
The Day of the Jackal-1973,The Day of the Jackal,1973,PG,143 min,"Crime, Drama, Thriller",Fred Zinnemann,"Frederick Forsyth (book), Kenneth Ross (screenplay)","Edward Fox, Terence Alexander, Michel Auclair, Alan Badel","A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.","English, Italian, French","UK, France",Nominated for 1 Oscar. Another 1 win & 10 nominations.,80,7.8,"35,006",tt0069947
Jamaica Inn-1939,Jamaica Inn,1939,Not Rated,98 min,"Adventure, Crime",Alfred Hitchcock,"Sidney Gilliat (screen play), Joan Harrison (screen play), Sidney Gilliat (dialogue), J.B. Priestley (additional dialogue)","Charles Laughton, Horace Hodges, Hay Petrie, Frederick Piper","In Cornwall, 1819, a young woman discovers she's living near a gang of criminals who arrange shipwrecks for profit.",English,UK,N/A,N/A,6.3,"8,297",tt0031505
Jane Eyre-1934,Jane Eyre,1934,NOT RATED,62 min,"Drama, Romance",Christy Cabanne,"Charlotte Brontë (novel), Adele Comandini","Virginia Bruce, Colin Clive, Beryl Mercer, David Torrence",A meek governess and her mysterious employer strike up a romantic relationship.,English,USA,N/A,N/A,4.4,282,tt0025323
The Jazz Singer-1927,The Jazz Singer,1927,Unrated,88 min,"Drama, Music, Musical, Romance",Alan Crosland,"Samson Raphaelson (play), Alfred A. Cohn (adaptation), Jack Jarmuth (titles)","Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer",The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.,English,USA,Nominated for 1 Oscar. Another 3 wins.,66,6.5,"8,398",tt0018037
Oden jigoku-1960,Oden jigoku,1960,N/A,N/A,N/A,Keigo Kimura,"Keigo Kimura, Kanji Kunieda (story)","Masumi Ariake, Shizuo Chûjô, Eiji Funakoshi, Namie Iso",N/A,Japanese,Japan,N/A,N/A,N/A,N/A,tt3417544
Journey's End-1930,Journey's End,1930,Passed,120 min,"Drama, War",James Whale,"Gareth Gundrey, Joseph Moncure March, R.C. Sherriff (play)","Colin Clive, Ian Maclaren, David Manners, Billy Bevan","In France, 1917, an alcoholic captain is afraid that his new replacement, his sweetheart's brother, will betray his downfall.",English,"UK, USA",N/A,N/A,6.8,194,tt0021013
The Jungle Book-1942,The Jungle Book,1942,Approved,108 min,"Action, Adventure, Family",Zoltan Korda,Laurence Stallings (adaptation),"Sabu, Joseph Calleia, John Qualen, Frank Puglia",A boy raised by wolves tries to adapt to human village life.,English,"USA, UK",Nominated for 4 Oscars. Another 1 win & 1 nomination.,N/A,6.7,"3,552",tt0034928
The Karate Kid-1984,The Karate Kid,1984,PG,126 min,"Action, Drama, Family, Sport",John G. Avildsen,Robert Mark Kamen,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove","A boy and his mother move to California for a new job. He struggles to fit in, as a group of karate students starts to bully him for dating a rich girl from their clique. It's up to the Japanese landlord, Miyagi, to teach him karate.","English, Japanese",USA,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,60,7.2,"162,483",tt0087538
Kidnapped-1938,Kidnapped,1938,Approved,90 min,"Adventure, Drama","Alfred L. Werker, Otto Preminger","Robert Louis Stevenson, Sonya Levien (screen play), Eleanor Harris (screen play), Ernest Pascal (screen play), Edwin Blum (screen play)","Warner Baxter, Freddie Bartholomew, Arleen Whelan, C. Aubrey Smith","In 1747, young David Balfour's life is threatened by his greedy uncle Ebenezer who wishes to become heir to the considerable Balfour estate.",English,USA,N/A,N/A,6.7,255,tt0030321
King Kong-1933,King Kong,1933,Passed,100 min,"Adventure, Horror, Sci-Fi","Merian C. Cooper, Ernest B. Schoedsack","James Ashmore Creelman (screen play), Ruth Rose (screen play), Merian C. Cooper (from an idea conceived by), Edgar Wallace (from an idea conceived by)","Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,English,USA,3 wins & 7 nominations.,90,7.9,"75,355",tt0024216
King Solomon's Mines-1937,King Solomon's Mines,1937,Not Rated,77 min,"Action, Adventure, Drama, Musical, Romance, Thriller","Robert Stevenson, Geoffrey Barkas","H. Rider Haggard (novel), Michael Hogan (screenplay), Roland Pertwee (screenplay), Roland Pertwee (dialogue)","Paul Robeson, Cedric Hardwicke, Roland Young, John Loder",White hunter Allan Quartermain and his enigmatic guide help a young Irish woman locate her missing father in unexplored Darkest Africa.,English,UK,1 nomination.,N/A,6.4,961,tt0029081
A Connecticut Yankee in King Arthur's Court-1921,A Connecticut Yankee in King Arthur's Court,1921,N/A,80 min,"Adventure, Comedy, Fantasy",Emmett J. Flynn,"Bernard McConville (adaptation), Mark Twain (novel)","Harry Myers, Pauline Starke, Rosemary Theby, Charles Clary","In 1921, a young man, having read Mark Twain's classic novel of the same title, dreams that he himself travels to King Arthur's court, where he has similar adventures and outwits his foes ...",N/A,USA,N/A,N/A,7.5,18,tt0012067
A Kiss Before Dying-1956,A Kiss Before Dying,1956,Approved,94 min,"Crime, Film-Noir, Mystery, Romance, Thriller",Gerd Oswald,"Lawrence Roman (screenplay), Ira Levin (novel)","Robert Wagner, Jeffrey Hunter, Virginia Leith, Joanne Woodward",A ruthless college student resorts to murder in a futile attempt to marry an heiress.,English,USA,N/A,N/A,6.8,"2,578",tt0049414
The Secret Hour-1928,The Secret Hour,1928,N/A,80 min,"Drama, Romance",Rowland V. Lee,"Sidney Howard (play), Julian Johnson (titles), Rowland V. Lee","Pola Negri, Jean Hersholt, Kenneth Thomson, Christian J. Frank","The Secret Hour is a lost 1928 silent film romance drama directed by Rowland V. Lee and starring Pola Negri. It is based on the 1924 Broadway play, They Knew What They Wanted by Sidney ...",N/A,USA,N/A,N/A,N/A,N/A,tt0019363
Death Game-1977,Death Game,1977,R,91 min,Thriller,Peter S. Traynor,"Anthony Overman, Michael Ronald Ross","Sondra Locke, Colleen Camp, Seymour Cassel, Beth Brickell","Two young girls come to the home of a businessman whose family is away on his birthday. They seduce him and afterwards, however, they tie him up, torture him and trash his house.",English,USA,N/A,N/A,5.2,601,tt0075921
West of Zanzibar-1928,West of Zanzibar,1928,TV-G,65 min,"Drama, Mystery",Tod Browning,"Elliott J. Clawson, Chester De Vonde (play), Joseph Farnham (titles), Kilbourn Gordon (play), Waldemar Young (adaptation)","Lon Chaney, Lionel Barrymore, Mary Nolan, Warner Baxter",A magician seeks vengeance upon the man who paralyzed him and the illegitimate daughter he sired with the magician's wife.,English,USA,N/A,N/A,7.4,"1,207",tt0019563
