,Movie ID Remake,Remake Title,Remake Year,Type Remake,Movie ID Original,Original Title,Original Year,Type Original
101,Cinderella-2015,Cinderella,2015,Remake,Cinderella-1950,Cinderella,1950,Original
102,City of Angels-1998,City of Angels,1998,Remake,Der Himmel über Berlin or Wings of Desire-1987,Der Himmel über Berlin or Wings of Desire,1987,Original
103,Clash of the Titans-2010,Clash of the Titans,2010,Remake,Clash of the Titans-1981,Clash of the Titans,1981,Original
104,Classmates-2007,Classmates,2007,Remake,Classmates-2006,Classmates,2006,Original
105,Cloak & Dagger-1984,Cloak & Dagger,1984,Remake,The Window-1949,The Window,1949,Original
106,The Computer Wore Tennis Shoes-1995,The Computer Wore Tennis Shoes,1995,Remake,The Computer Wore Tennis Shoes-1969,The Computer Wore Tennis Shoes,1969,Original
107,Cousins-1989,Cousins,1989,Remake,"Cousin, cousine-1975","Cousin, cousine",1975,Original
108,Conan the Barbarian-2011,Conan the Barbarian,2011,Remake,Conan the Barbarian-1982,Conan the Barbarian,1982,Original
109,The Count of Monte Cristo-2002,The Count of Monte Cristo,2002,Remake,Monte Cristo-1922,Monte Cristo,1922,Original
110,Crackers-1984,Crackers,1984,Remake,Big Deal on Madonna Street-1958,Big Deal on Madonna Street,1958,Original
111,The Crazies-2010,The Crazies,2010,Remake,The Crazies-1973,The Crazies,1973,Original
112,Crime School-1938,Crime School,1938,Remake,The Mayor of Hell-1933,The Mayor of Hell,1933,Original
113,Criminal-2004,Criminal,2004,Remake,Nueve reinas-2000,Nueve reinas,2000,Original
114,D.O.A.-1988,D.O.A.,1988,Remake,D.O.A.-1950,D.O.A.,1950,Original
115,Dark Victory-1976,Dark Victory,1976,Remake,Dark Victory-1939,Dark Victory,1939,Original
116,Dark Water-2005,Dark Water,2005,Remake,Dark Water-2002,Dark Water,2002,Original
117,David Copperfield-2000,David Copperfield,2000,Remake,David Copperfield-1935,David Copperfield,1935,Original
118,Dawn of the Dead-2004,Dawn of the Dead,2004,Remake,Dawn of the Dead-1978,Dawn of the Dead,1978,Original
119,The Dawn Patrol-1938,The Dawn Patrol,1938,Remake,The Dawn Patrol-1930,The Dawn Patrol,1930,Original
120,Day of the Dead-2008,Day of the Dead,2008,Remake,Day of the Dead-1985,Day of the Dead,1985,Original
121,The Day the Earth Stood Still-2008,The Day the Earth Stood Still,2008,Remake,The Day the Earth Stood Still-1951,The Day the Earth Stood Still,1951,Original
122,Death Drums Along the River-1963,Death Drums Along the River,1963,Remake,Sanders of the River-1935,Sanders of the River,1935,Original
123,Dead of Winter-1987,Dead of Winter,1987,Remake,My Name Is Julia Ross-1945,My Name Is Julia Ross,1945,Original
124,Death at a Funeral-2010,Death at a Funeral,2010,Remake,Death at a Funeral-2007,Death at a Funeral,2007,Original
125,Death Race-2008,Death Race,2008,Remake,Death Race 2000-1975,Death Race 2000,1975,Original
126,Death Wish-2018,Death Wish,2018,Remake,Death Wish-1974,Death Wish,1974,Original
127,The Debt-2011,The Debt,2011,Remake,The Debt-2007,The Debt,2007,Original
128,The Defiant Ones-1986,The Defiant Ones,1986,Remake,The Defiant Ones-1958,The Defiant Ones,1958,Original
129,The Departed-2006,The Departed,2006,Remake,Infernal Affairs-2002,Infernal Affairs,2002,Original
130,Desire-1936,Desire,1936,Remake,Happy Days in Aranjuez-1933,Happy Days in Aranjuez,1933,Original
131,Desperate Hours-1990,Desperate Hours,1990,Remake,The Desperate Hours-1955,The Desperate Hours,1955,Original
132,Destry-1954,Destry,1954,Remake,Destry Rides Again-1932,Destry Rides Again,1932,Original
133,Le Deuxième Souffle-2007,Le Deuxième Souffle,2007,Remake,Le Deuxième Souffle-1966,Le Deuxième Souffle,1966,Original
134,Diabolique-1996,Diabolique,1996,Remake,Les Diaboliques-1955,Les Diaboliques,1955,Original
135,Diamond Horseshoe-1945,Diamond Horseshoe,1945,Remake,The Barker-1928,The Barker,1928,Original
136,Dirty Rotten Scoundrels-1988,Dirty Rotten Scoundrels,1988,Remake,Bedtime Story-1964,Bedtime Story,1964,Original
137,Dr. Jekyll and Mr. Hyde-1941,Dr. Jekyll and Mr. Hyde,1941,Remake,Dr. Jekyll and Mr. Hyde-1931,Dr. Jekyll and Mr. Hyde,1931,Original
138,Dr. M-1990,Dr. M,1990,Remake,Dr. Mabuse the Gambler-1922,Dr. Mabuse the Gambler,1922,Original
139,Drums of Fu Manchu-1940,Drums of Fu Manchu,1940,Remake,The Mask of Fu Manchu-1932,The Mask of Fu Manchu,1932,Original
140,Billa-2009,Billa,2009,Remake,Don-1978,Don,1978,Original
141,A Dog of Flanders-1999,A Dog of Flanders,1999,Remake,A Dog of Flanders-1959,A Dog of Flanders,1959,Original
142,Don Quixote-2000,Don Quixote,2000,Remake,Don Quixote-1933,Don Quixote,1933,Original
143,Dorian Gray-2009,Dorian Gray,2009,Remake,The Picture of Dorian Gray-1945,The Picture of Dorian Gray,1945,Original
144,Down-2001,Down,2001,Remake,De Lift-1983,De Lift,1983,Original
145,Down and Out in Beverly Hills-1986,Down and Out in Beverly Hills,1986,Remake,Boudu sauvé des eaux-1932,Boudu sauvé des eaux,1932,Original
146,Down to Earth-2001,Down to Earth,2001,Remake,Here Comes Mr. Jordan-1941,Here Comes Mr. Jordan,1941,Original
147,Dracula-2006,Dracula,2006,Remake,Dracula-1931,Dracula,1931,Original
148,Dulcy-1940,Dulcy,1940,Remake,Not So Dumb-1930,Not So Dumb,1930,Original
149,Dumbo-2019,Dumbo,2019,Remake,Dumbo-1941,Dumbo,1941,Original
150,East of Eden-1981,East of Eden,1981,Remake,East of Eden-1955,East of Eden,1955,Original
151,Easy Virtue-2008,Easy Virtue,2008,Remake,Easy Virtue-1928,Easy Virtue,1928,Original
152,The Echo-2008,The Echo,2008,Remake,Sigaw-2004,Sigaw,2004,Original
153,EDtv-1999,EDtv,1999,Remake,"Louis 19, King of the Airwaves-Louis 19, le roi des ondes","Louis 19, King of the Airwaves","Louis 19, le roi des ondes",Original
154,Ellam Avan Seyal-2008,Ellam Avan Seyal,2008,Remake,Chinthamani Kolacase-2006,Chinthamani Kolacase,2006,Original
155,Endless Love-2014,Endless Love,2014,Remake,Endless Love-1981,Endless Love,1981,Original
156,Escapade-1935,Escapade,1935,Remake,Maskerade-1934,Maskerade,1934,Original
157,Evil Dead-2013,Evil Dead,2013,Remake,The Evil Dead-1981,The Evil Dead,1981,Original
