Movie ID,Remake Title,Remake Year,Remake IMDb ID
House of Wax-2005,House of Wax,2005,tt0397065
House on Haunted Hill-1999,House on Haunted Hill,1999,tt0185371
How to Make a Monster-2001,How to Make a Monster,2001,tt0281919
The Adventures of Huck Finn-1993,The Adventures of Huck Finn,1993,tt0106223
The Hunchback-1997,The Hunchback,1997,
Hurricane-1979,Hurricane,1979,tt0079319
I Am Legend-2007,I Am Legend,2007,tt0480249
I Died a Thousand Times-1955,I Died a Thousand Times,1955,tt0048190
I Married a Monster-1998,I Married a Monster,1998,tt0162999
The Informer-1935,The Informer,1935,tt0026529
Inherit the Wind-1999,Inherit the Wind,1999,tt0196632
I Saw What You Did-1988,I Saw What You Did,1988,tt0095344
I Spit on Your Grave-2010,I Spit on Your Grave,2010,tt1242432
I Want to Live!-1983,I Want to Live!,1983,
Ice Castles-2010,Ice Castles,2010,tt1411276
Ihr erstes Rendezvous-1955,Ihr erstes Rendezvous,1955,tt0048197
Imitation of Life-1959,Imitation of Life,1959,tt0052918
L'impiegata di papà-1934,L'impiegata di papà,1934,
In Search for Captain Grant-1986,In Search for Captain Grant,1986,
Indiscretion of an American Wife-1998,Indiscretion of an American Wife,1998,tt0193240
The Initiation of Sarah-2006,The Initiation of Sarah,2006,tt0795403
The In-Laws-2003,The In-Laws,2003,tt0314786
Insomnia-2002,Insomnia,2002,tt0278504
Intersection-1994,Intersection,1994,tt0110146
Intermezzo-1939,Intermezzo,1939,tt0031491
Interview-2007,Interview,2007,tt0480269
Invaders from Mars-1986,Invaders from Mars,1986,tt0091276
The Invasion-2007,The Invasion,2007,tt0427392
Irma la Douce-1972,Irma la Douce,1972,tt0308416
Iron Maze-1991,Iron Maze,1991,tt0102128
The Island of Dr. Moreau-1996,The Island of Dr. Moreau,1996,tt0116654
The Italian Job-2003,The Italian Job,2003,tt0317740
It's Alive-2009,It's Alive,2009,tt1172060
It's Great to Be Alive-1933,It's Great to Be Alive,1933,tt0024189
The Jackal-1997,The Jackal,1997,tt0119395
Jakob the Liar-1999,Jakob the Liar,1999,tt0120716
Jamaica Inn-2014,Jamaica Inn,2014,
Jane Eyre-2011,Jane Eyre,2011,tt1229822
The Jazz Singer-1980,The Jazz Singer,1980,tt0080948
Jigoku-1999,Jigoku,1999,tt0269401
Journey into Fear-1975,Journey into Fear,1975,
Journey's End-2017,Journey's End,2017,tt3780500
Mowgli: Legend of the Jungle-2018,Mowgli: Legend of the Jungle,2018,tt2388771
Jungle 2 Jungle-1997,Jungle 2 Jungle,1997,tt0119432
Just Visiting-2001,Just Visiting,2001,tt0189192
Nihon Chinbotsu-2006,Nihon Chinbotsu,2006,
The Karate Kid-2010,The Karate Kid,2010,tt1155076
Kidnapped-2005,Kidnapped,2005,tt0432236
King Kong-2005,King Kong,2005,tt0360717
King Solomon's Mines-2004,King Solomon's Mines,2004,tt0397501
A Kid in King Arthur's Court-1995,A Kid in King Arthur's Court,1995,tt0113538
A Kiss Before Dying-1991,A Kiss Before Dying,1991,tt0102220
Kiss Me Goodbye-1982,Kiss Me Goodbye,1982,tt0084210
Kiss of Death-1995,Kiss of Death,1995,tt0113552
They Knew What They Wanted-1940,They Knew What They Wanted,1940,tt0033150
Knock Knock-2015,Knock Knock,2015,tt3605418
Kongo-1932,Kongo,1932,tt0023101
Lady and the Tramp-2019,Lady and the Tramp,2019,tt8096832
The Ladykillers-2004,The Ladykillers,2004,tt0335245
The Lady Vanishes-2013,The Lady Vanishes,2013,tt2183152
The Lake House-2006,The Lake House,2006,tt0410297
The Land That Time Forgot-2009,The Land That Time Forgot,2009,tt1410205
Last Holiday-2006,Last Holiday,2006,tt0408985
The Last House on the Left-2009,The Last House on the Left,2009,tt0844708
The Last Kiss-2006,The Last Kiss,2006,tt0434139
Last Man Standing-1996,Last Man Standing,1996,tt0116830
The Last Hurrah-1977,The Last Hurrah,1977,tt0076296
The Last of the Mohicans-1992,The Last of the Mohicans,1992,tt0104691
Les Misérables-2018,Les Misérables,2018,
Let Me In-2010,Let Me In,2010,tt1228987
The Lion King-2019,The Lion King,2019,tt6105098
Little Fugitive-2006,Little Fugitive,2006,tt0418835
Little Miss Marker-1980,Little Miss Marker,1980,tt0081063
Little Shop of Horrors-1986,Little Shop of Horrors,1986,tt0091419
Little Women-2019,Little Women,2019,tt3281548
The Lodger-2009,The Lodger,2009,tt0851530
The Loft-2014,The Loft,2014,tt1850397
LOL-2012,LOL,2012,tt1592873
The Longest Yard-2005,The Longest Yard,2005,tt0398165
Long Fliv the King-1926,Long Fliv the King,1926,tt0017078
The Long Hot Summer-1985,The Long Hot Summer,1985,tt0089500
The Long Night-1947,The Long Night,1947,tt0039581
Lost Horizon-1973,Lost Horizon,1973,tt0070337
